Postcode,Latitude,Longitude,Easting,Northing,Grid reference,Active?
SE1 0AA,51.498708,-0.101772,531860,179460,TQ318794,Yes
SE1 0AB,51.504038,-0.095542,532277,180064,TQ322800,Yes
SE1 0AD,51.499568,-0.101016,531910,179557,TQ319795,Yes
SE1 0AE,51.498575,-0.104112,531698,179441,TQ316794,Yes
SE1 0AF,51.498206,-0.104098,531700,179400,TQ317794,No
SE1 0AG,51.499201,-0.102677,531796,179513,TQ317795,Yes
SE1 0AH,51.499034,-0.102508,531808,179495,TQ318794,Yes
SE1 0AJ,51.49918,-0.100399,531954,179515,TQ319795,Yes
SE1 0AL,51.504758,-0.096103,532236,180143,TQ322801,Yes
SE1 0AN,51.499042,-0.103516,531738,179494,TQ317794,Yes
SE1 0AP,51.498961,-0.105234,531619,179482,TQ316794,Yes
SE1 0AQ,51.49928,-0.102138,531833,179523,TQ318795,Yes
SE1 0AR,51.504081,-0.095944,532249,180068,TQ322800,Yes
SE1 0AS,51.503409,-0.09613,532238,179993,TQ322799,Yes
SE1 0AT,51.503555,-0.09624,532230,180009,TQ322800,Yes
SE1 0AU,51.503481,-0.096675,532200,180000,TQ322799,No
SE1 0AW,51.502582,-0.096712,532200,179900,TQ322798,No
SE1 0AX,51.502964,-0.095734,532267,179944,TQ322799,Yes
SE1 0AY,51.503481,-0.096675,532200,180000,TQ322799,No
SE1 0AZ,51.50366,-0.096048,532243,180021,TQ322800,No
SE1 0BA,51.50296,-0.100587,531930,179935,TQ319799,No
SE1 0BB,51.502475,-0.101072,531898,179880,TQ318798,Yes
SE1 0BD,51.502474,-0.101097,531896,179880,TQ318798,Yes
SE1 0BE,51.501741,-0.10084,531916,179799,TQ319797,Yes
SE1 0BF,51.502474,-0.101097,531896,179880,TQ318798,Yes
SE1 0BG,51.501754,-0.10107,531900,179800,TQ318798,No
SE1 0BH,51.502282,-0.102575,531794,179856,TQ317798,Yes
SE1 0BJ,51.501945,-0.102891,531773,179818,TQ317798,Yes
SE1 0BL,51.503102,-0.10159,531860,179949,TQ318799,Yes
SE1 0BN,51.502676,-0.102472,531800,179900,TQ318799,No
SE1 0BP,51.498364,-0.102795,531790,179420,TQ317794,No
SE1 0BQ,51.501249,-0.098785,532060,179748,TQ320797,Yes
SE1 0BS,51.503585,-0.100864,531909,180004,TQ319800,Yes
SE1 0BT,51.502556,-0.100647,531927,179890,TQ319798,No
SE1 0BU,51.501466,-0.099381,532018,179771,TQ320797,Yes
SE1 0BW,51.501857,-0.103572,531726,179807,TQ317798,Yes
SE1 0BX,51.50117,-0.098875,532054,179739,TQ320797,Yes
SE1 0BY,51.502558,-0.102419,531804,179887,TQ318798,Yes
SE1 0BZ,51.502786,-0.10205,531829,179913,TQ318799,Yes
SE1 0DA,51.50173,-0.09963,532000,179800,TQ319797,No
SE1 0DB,51.503029,-0.100959,531904,179942,TQ319799,Yes
SE1 0DD,51.498163,-0.102573,531806,179398,TQ318793,No
SE1 0DE,51.492762,-0.080152,533378,178838,TQ333788,Yes
SE1 0DF,51.502786,-0.10205,531829,179913,TQ318799,Yes
SE1 0DG,51.500116,-0.099884,531987,179620,TQ319796,Yes
SE1 0DH,51.49997,-0.100294,531959,179603,TQ319796,Yes
SE1 0DJ,51.503183,-0.101068,531896,179959,TQ318799,No
SE1 0DL,51.499917,-0.100944,531914,179596,TQ319795,Yes
SE1 0DN,51.499731,-0.099425,532020,179578,TQ320795,Yes
SE1 0DP,51.500267,-0.101996,531840,179633,TQ318796,No
SE1 0DQ,51.500302,-0.100294,531958,179640,TQ319796,Yes
SE1 0DR,51.499956,-0.101144,531900,179600,TQ319795,No
SE1 0DS,51.499058,-0.101182,531900,179500,TQ318795,No
SE1 0DT,51.500653,-0.098637,532072,179682,TQ320796,Yes
SE1 0DU,51.499058,-0.101182,531900,179500,TQ318795,No
SE1 0DW,51.500267,-0.101996,531840,179633,TQ318796,Yes
SE1 0DX,51.502983,-0.10037,531945,179938,TQ319799,No
SE1 0DY,51.503197,-0.100217,531955,179962,TQ319799,Yes
SE1 0DZ,51.49998,-0.102584,531800,179600,TQ318796,No
SE1 0EA,51.503232,-0.09961,531997,179967,TQ319799,Yes
SE1 0EB,51.502876,-0.098717,532060,179929,TQ320799,Yes
SE1 0ED,51.501221,-0.098138,532105,179746,TQ321797,Yes
SE1 0EE,51.502938,-0.099781,531986,179934,TQ319799,No
SE1 0EF,51.501904,-0.098153,532102,179822,TQ321798,Yes
SE1 0EG,51.501967,-0.09815,532102,179829,TQ321798,No
SE1 0EH,51.502938,-0.099781,531986,179934,TQ319799,Yes
SE1 0EJ,51.503292,-0.099435,532009,179974,TQ320799,No
SE1 0EL,51.503431,-0.098003,532108,179992,TQ321799,Yes
SE1 0EN,51.502983,-0.098699,532061,179941,TQ320799,Yes
SE1 0EP,51.502968,-0.097748,532127,179941,TQ321799,Yes
SE1 0EQ,51.502617,-0.098717,532061,179900,TQ320799,Yes
SE1 0ER,51.502872,-0.097378,532153,179931,TQ321799,Yes
SE1 0ES,51.503262,-0.09637,532222,179976,TQ322799,Yes
SE1 0ET,51.503618,-0.096813,532190,180015,TQ321800,Yes
SE1 0EU,51.503074,-0.09645,532217,179955,TQ322799,Yes
SE1 0EW,51.502902,-0.098111,532102,179933,TQ321799,Yes
SE1 0EX,51.502959,-0.096625,532205,179942,TQ322799,Yes
SE1 0EY,51.502686,-0.096337,532226,179912,TQ322799,Yes
